google_Documentary_chunk_32_1497034203599011_count_0_noise_-1_noise_type_White,2,2.6,3.08,rather enemy,-1,True,0.8775,0.344,lecture,White,rather,enemy,"[{'transcript': 'driving in a ', 'word_confidence': [['driving', 0.507], ['in', 0.511], ['a', 0.271]], 'confidence': 0.472, 'timestamps': [['driving', 0.22, 0.56], ['in', 0.56, 0.62], ['a', 0.62, 0.69]]}]",driving,0.8589,in,0.7339,a,0.5253
Nikola_Tesla_chunk_65_1497034203599011_count_0_noise_-1_noise_type_White,2,10.1,11.72,nineteen thank,-1,True,0.8936,0.4475,lecture,White,nineteen,thank,"[{'transcript': 'Rachel ', 'word_confidence': [['Rachel', 0.483]], 'confidence': 0.483, 'timestamps': [['Rachel', 0.24, 0.86]]}]",Rachel,0.905
American_Civil_War_chunk_84_1497034203599011_count_0_noise_-1_noise_type_White,2,23.79,24.3,because German,-1,True,0.9494,0.4347,lecture,White,because,German,"[{'transcript': 'the sermon ', 'word_confidence': [['the', 0.226], ['sermon', 0.547]], 'confidence': 0.485, 'timestamps': [['the', 0.28, 0.37], ['sermon', 0.37, 0.75]]}]",the,0.8141,sermon,0.9406
Albert_Einstein_chunk_36_1497034203599011_count_1_noise_-1_noise_type_White,2,15.19,15.73,Isaac Newton,-1,True,0.9788,0.3586,lecture,White,Isaac,Newton,"[{'transcript': 'Isaac new ', 'word_confidence': [['Isaac', 1.0], ['new', 0.76]], 'confidence': 0.923, 'timestamps': [['Isaac', 0.23, 0.59], ['new', 0.59, 0.76]]}]",Isaac,0.9073,new,0.4844
Albert_Einstein_chunk_36_1497034203599011_count_1_noise_0_noise_type_White,2,15.19,15.73,Isaac Newton,0,True,0.9788,0.3586,lecture,White,Isaac,Newton,"[{'transcript': 'Isaac new ', 'word_confidence': [['Isaac', 1.0], ['new', 0.937]], 'confidence': 0.981, 'timestamps': [['Isaac', 0.23, 0.6], ['new', 0.6, 0.76]]}]",Isaac,0.9032,new,0.5175
Albert_Einstein_chunk_36_1497034203599011_count_1_noise_10_noise_type_White,2,15.19,15.73,Isaac Newton,10,True,0.9788,0.3586,lecture,White,Isaac,Newton,"[{'transcript': 'Isaac new ', 'word_confidence': [['Isaac', 1.0], ['new', 0.697]], 'confidence': 0.924, 'timestamps': [['Isaac', 0.24, 0.6], ['new', 0.6, 0.72]]}]",Isaac,0.9191,new,0.4635
Albert_Einstein_chunk_36_1497034203599011_count_1_noise_15_noise_type_White,2,15.19,15.73,Isaac Newton,15,True,0.9788,0.3586,lecture,White,Isaac,Newton,[]
Albert_Einstein_chunk_36_1497034203599011_count_1_noise_12_noise_type_White,2,15.19,15.73,Isaac Newton,12,True,0.9788,0.3586,lecture,White,Isaac,Newton,"[{'transcript': 'Isaac new ', 'word_confidence': [['Isaac', 0.955], ['new', 0.661]], 'confidence': 0.882, 'timestamps': [['Isaac', 0.24, 0.6], ['new', 0.6, 0.72]]}]",Isaac,0.923,new,0.4332
Albert_Einstein_chunk_36_1497034203599011_count_1_noise_14_noise_type_White,2,15.19,15.73,Isaac Newton,14,True,0.9788,0.3586,lecture,White,Isaac,Newton,"[{'transcript': 'Isaac new ', 'word_confidence': [['Isaac', 0.753], ['new', 0.339]], 'confidence': 0.641, 'timestamps': [['Isaac', 0.24, 0.59], ['new', 0.59, 0.72]]}]",Isaac,0.7009,sickness,0.2502
google_Documentary_chunk_33_1497034203599011_count_0_noise_-1_noise_type_White,2,9.29,10.22,enticements entrant,-1,True,0.9958,0.4427,lecture,White,enticements,entrant,"[{'transcript': 'enticements entry ', 'word_confidence': [['enticements', 0.884], ['entry', 0.166]], 'confidence': 0.639, 'timestamps': [['enticements', 0.24, 0.86], ['entry', 0.86, 1.18]]}]",enticements,0.9908,entry,0.5381
google_Documentary_chunk_33_1497034203599011_count_0_noise_0_noise_type_White,2,9.29,10.22,enticements entrant,0,True,0.9958,0.4427,lecture,White,enticements,entrant,"[{'transcript': 'enticements entry ', 'word_confidence': [['enticements', 0.887], ['entry', 0.173]], 'confidence': 0.644, 'timestamps': [['enticements', 0.24, 0.86], ['entry', 0.86, 1.18]]}]",enticements,0.9922,entry,0.5709
google_Documentary_chunk_33_1497034203599011_count_0_noise_10_noise_type_White,2,9.29,10.22,enticements entrant,10,True,0.9958,0.4427,lecture,White,enticements,entrant,"[{'transcript': 'enticements entry ', 'word_confidence': [['enticements', 0.89], ['entry', 0.104]], 'confidence': 0.622, 'timestamps': [['enticements', 0.24, 0.86], ['entry', 0.86, 1.18]]}]",enticements,0.9803,entry,0.4923
google_Documentary_chunk_33_1497034203599011_count_0_noise_15_noise_type_White,2,9.29,10.22,enticements entrant,15,True,0.9958,0.4427,lecture,White,enticements,entrant,"[{'transcript': 'enticements entry ', 'word_confidence': [['enticements', 0.208], ['entry', 0.097]], 'confidence': 0.169, 'timestamps': [['enticements', 0.24, 0.85], ['entry', 0.85, 1.18]]}]",enticements,0.7557,entry,0.3041
google_Documentary_chunk_33_1497034203599011_count_0_noise_16_noise_type_White,2,9.29,10.22,enticements entrant,16,True,0.9958,0.4427,lecture,White,enticements,entrant,"[{'transcript': 'enticements entry ', 'word_confidence': [['enticements', 0.147], ['entry', 0.114]], 'confidence': 0.135, 'timestamps': [['enticements', 0.24, 0.85], ['entry', 0.85, 1.18]]}]",enticements,0.5465,a,0.2899
Darwins_Legacy_chunk_43_1497034203599011_count_0_noise_-1_noise_type_White,2,3.46,4.71,gloss greenhouse,-1,False,0.4376,0.9043,lecture,White,gloss,greenhouse,"[{'transcript': 'Los greenhouse ', 'word_confidence': [['Los', 0.57], ['greenhouse', 0.549]], 'confidence': 0.557, 'timestamps': [['Los', 0.27, 0.7], ['greenhouse', 0.7, 1.5]]}]",Los,0.6505,greenhouse,0.8608
Darwins_Legacy_chunk_43_1497034203599011_count_0_noise_0_noise_type_White,2,3.46,4.71,gloss greenhouse,0,False,0.4376,0.9043,lecture,White,gloss,greenhouse,"[{'transcript': 'Los greenhouse ', 'word_confidence': [['Los', 0.627], ['greenhouse', 0.626]], 'confidence': 0.626, 'timestamps': [['Los', 0.27, 0.7], ['greenhouse', 0.7, 1.5]]}]",Los,0.6815,greenhouse,0.8848
Darwins_Legacy_chunk_43_1497034203599011_count_0_noise_10_noise_type_White,2,3.46,4.71,gloss greenhouse,10,False,0.4376,0.9043,lecture,White,gloss,greenhouse,"[{'transcript': 'Los greenhouse ', 'word_confidence': [['Los', 0.58], ['greenhouse', 0.601]], 'confidence': 0.594, 'timestamps': [['Los', 0.27, 0.7], ['greenhouse', 0.7, 1.5]]}]",Los,0.6821,greenhouse,0.9049
Darwins_Legacy_chunk_43_1497034203599011_count_0_noise_20_noise_type_White,2,3.46,4.71,gloss greenhouse,20,False,0.4376,0.9043,lecture,White,gloss,greenhouse,"[{'transcript': 'Los greenhouse ', 'word_confidence': [['Los', 0.501], ['greenhouse', 0.456]], 'confidence': 0.472, 'timestamps': [['Los', 0.27, 0.7], ['greenhouse', 0.7, 1.5]]}]",Los,0.6259,greenhouse,0.8275
Darwins_Legacy_chunk_43_1497034203599011_count_0_noise_30_noise_type_White,2,3.46,4.71,gloss greenhouse,30,False,0.4376,0.9043,lecture,White,gloss,greenhouse,"[{'transcript': 'lost greenhouse ', 'word_confidence': [['lost', 0.464], ['greenhouse', 0.04]], 'confidence': 0.216, 'timestamps': [['lost', 0.28, 0.76], ['greenhouse', 0.76, 1.44]]}]",lost,0.5241,free,0.6432,house,0.7469
Darwins_Legacy_chunk_43_1497034203599011_count_0_noise_25_noise_type_White,2,3.46,4.71,gloss greenhouse,25,False,0.4376,0.9043,lecture,White,gloss,greenhouse,"[{'transcript': 'lost greenhouse ', 'word_confidence': [['lost', 0.446], ['greenhouse', 0.334]], 'confidence': 0.378, 'timestamps': [['lost', 0.28, 0.76], ['greenhouse', 0.76, 1.49]]}]",lost,0.5247,greenhouse,0.8592
Darwins_Legacy_chunk_43_1497034203599011_count_0_noise_27_noise_type_White,2,3.46,4.71,gloss greenhouse,27,False,0.4376,0.9043,lecture,White,gloss,greenhouse,"[{'transcript': 'lost greenhouse ', 'word_confidence': [['lost', 0.445], ['greenhouse', 0.17]], 'confidence': 0.279, 'timestamps': [['lost', 0.28, 0.76], ['greenhouse', 0.76, 1.49]]}]",lost,0.6111,greenhouse,0.6458
Darwins_Legacy_chunk_43_1497034203599011_count_0_noise_29_noise_type_White,2,3.46,4.71,gloss greenhouse,29,False,0.4376,0.9043,lecture,White,gloss,greenhouse,"[{'transcript': 'lost greenhouse ', 'word_confidence': [['lost', 0.46], ['greenhouse', 0.05]], 'confidence': 0.22, 'timestamps': [['lost', 0.28, 0.76], ['greenhouse', 0.76, 1.44]]}]",lost,0.5751,free,0.6064,house,0.7208
Darwins_Legacy_chunk_43_1497034203599011_count_0_noise_28_noise_type_White,2,3.46,4.71,gloss greenhouse,28,False,0.4376,0.9043,lecture,White,gloss,greenhouse,"[{'transcript': 'lost greenhouse ', 'word_confidence': [['lost', 0.467], ['greenhouse', 0.146]], 'confidence': 0.274, 'timestamps': [['lost', 0.28, 0.76], ['greenhouse', 0.76, 1.49]]}]",lost,0.7032,greenhouse,0.4896
American_Civil_War_chunk_22_1497034203599011_count_0_noise_-1_noise_type_White,2,10.84,11.43,states where,-1,True,0.7726,0.4543,lecture,White,states,where,"[{'transcript': 'states were ', 'word_confidence': [['states', 1.0], ['were', 0.275]], 'confidence': 0.747, 'timestamps': [['states', 0.23, 0.64], ['were', 0.64, 0.86]]}]",states,0.9757,were,0.3692
American_Civil_War_chunk_22_1497034203599011_count_0_noise_0_noise_type_White,2,10.84,11.43,states where,0,True,0.7726,0.4543,lecture,White,states,where,"[{'transcript': 'states were ', 'word_confidence': [['states', 1.0], ['were', 0.267]], 'confidence': 0.744, 'timestamps': [['states', 0.23, 0.64], ['were', 0.64, 0.86]]}]",states,0.9773,were,0.3938
American_Civil_War_chunk_22_1497034203599011_count_0_noise_10_noise_type_White,2,10.84,11.43,states where,10,True,0.7726,0.4543,lecture,White,states,where,"[{'transcript': 'states where ', 'word_confidence': [['states', 1.0], ['where', 0.415]], 'confidence': 0.818, 'timestamps': [['states', 0.23, 0.65], ['where', 0.65, 0.84]]}]",states,0.9811,where,0.4917
American_Civil_War_chunk_22_1497034203599011_count_0_noise_20_noise_type_White,2,10.84,11.43,states where,20,True,0.7726,0.4543,lecture,White,states,where,"[{'transcript': 'states where ', 'word_confidence': [['states', 0.923], ['where', 0.304]], 'confidence': 0.738, 'timestamps': [['states', 0.23, 0.65], ['where', 0.65, 0.83]]}]",states,0.9692,where,0.535
American_Civil_War_chunk_22_1497034203599011_count_0_noise_22_noise_type_White,2,10.84,11.43,states where,22,True,0.7726,0.4543,lecture,White,states,where,"[{'transcript': 'stay for ', 'word_confidence': [['stay', 0.165], ['for', 0.462]], 'confidence': 0.336, 'timestamps': [['stay', 0.23, 0.49], ['for', 0.49, 0.84]]}]",states,0.6507,for,0.5281
American_Civil_War_chunk_22_1497034203599011_count_0_noise_24_noise_type_White,2,10.84,11.43,states where,24,True,0.7726,0.4543,lecture,White,states,where,"[{'transcript': 'stay for ', 'word_confidence': [['stay', 0.365], ['for', 0.803]], 'confidence': 0.617, 'timestamps': [['stay', 0.24, 0.49], ['for', 0.49, 0.83]]}]",stay,0.8598,for,0.9484
American_Civil_War_chunk_22_1497034203599011_count_0_noise_23_noise_type_White,2,10.84,11.43,states where,23,True,0.7726,0.4543,lecture,White,states,where,"[{'transcript': 'stay for ', 'word_confidence': [['stay', 0.302], ['for', 0.64]], 'confidence': 0.496, 'timestamps': [['stay', 0.23, 0.49], ['for', 0.49, 0.84]]}]",stay,0.7282,for,0.8096
Nikola_Tesla_chunk_56_1497034203599011_count_0_noise_-1_noise_type_White,2,22.34,23.15,fluorescent label,-1,True,0.9307,0.446,lecture,White,fluorescent,label,"[{'transcript': 'fluorescent light ', 'word_confidence': [['fluorescent', 0.65], ['light', 0.361]], 'confidence': 0.576, 'timestamps': [['fluorescent', 0.24, 0.79], ['light', 0.86, 1.05]]}]",fluorescent,0.9946,light,0.7568
Nikola_Tesla_chunk_56_1497034203599011_count_0_noise_0_noise_type_White,2,22.34,23.15,fluorescent label,0,True,0.9307,0.446,lecture,White,fluorescent,label,"[{'transcript': 'fluorescent light ', 'word_confidence': [['fluorescent', 0.721], ['light', 0.398]], 'confidence': 0.638, 'timestamps': [['fluorescent', 0.24, 0.79], ['light', 0.86, 1.05]]}]",fluorescent,0.9958,light,0.7511
Nikola_Tesla_chunk_56_1497034203599011_count_0_noise_10_noise_type_White,2,22.34,23.15,fluorescent label,10,True,0.9307,0.446,lecture,White,fluorescent,label,"[{'transcript': 'fluorescent light ', 'word_confidence': [['fluorescent', 0.404], ['light', 0.173]], 'confidence': 0.345, 'timestamps': [['fluorescent', 0.24, 0.79], ['light', 0.86, 1.05]]}]",fluorescent,0.9772,light,0.7019
Nikola_Tesla_chunk_56_1497034203599011_count_0_noise_20_noise_type_White,2,22.34,23.15,fluorescent label,20,True,0.9307,0.446,lecture,White,fluorescent,label,"[{'transcript': 'fluorescent light ', 'word_confidence': [['fluorescent', 0.408], ['light', 0.156]], 'confidence': 0.341, 'timestamps': [['fluorescent', 0.24, 0.76], ['light', 0.86, 1.05]]}]",fluorescent,0.9766,light,0.6439
google_Documentary_chunk_62_1497034203599011_count_0_noise_-1_noise_type_White,2,10.9,11.37,Sergei would,-1,False,0.3115,0.9526,lecture,White,Sergei,would,"[{'transcript': 'third it would ', 'word_confidence': [['third', 0.184], ['it', 0.412], ['would', 0.157]], 'confidence': 0.226, 'timestamps': [['third', 0.24, 0.5], ['it', 0.5, 0.6], ['would', 0.6, 0.71]]}]",third,0.3672,would,0.3994
Elon_Musk_chunk_49_1497034203599011_count_0_noise_-1_noise_type_White,2,20.36,20.91,really obviously,-1,True,0.9877,0.2328,lecture,White,really,obviously,"[{'transcript': 'really of ', 'word_confidence': [['really', 0.963], ['of', 0.089]], 'confidence': 0.58, 'timestamps': [['really', 0.24, 0.47], ['of', 0.47, 0.65]]}]",really,0.9961,off,0.2545
Elon_Musk_chunk_49_1497034203599011_count_0_noise_0_noise_type_White,2,20.36,20.91,really obviously,0,True,0.9877,0.2328,lecture,White,really,obviously,"[{'transcript': 'really of ', 'word_confidence': [['really', 0.952], ['of', 0.082]], 'confidence': 0.579, 'timestamps': [['really', 0.23, 0.47], ['of', 0.47, 0.65]]}]",really,0.9951,off,0.2231
Elon_Musk_chunk_49_1497034203599011_count_0_noise_10_noise_type_White,2,20.36,20.91,really obviously,10,True,0.9877,0.2328,lecture,White,really,obviously,"[{'transcript': 'really off ', 'word_confidence': [['really', 0.95], ['off', 0.136]], 'confidence': 0.624, 'timestamps': [['really', 0.23, 0.47], ['off', 0.47, 0.63]]}]",really,0.9952,off,0.2135
Elon_Musk_chunk_49_1497034203599011_count_0_noise_20_noise_type_White,2,20.36,20.91,really obviously,20,True,0.9877,0.2328,lecture,White,really,obviously,"[{'transcript': 'really helps ', 'word_confidence': [['really', 0.969], ['helps', 0.181]], 'confidence': 0.542, 'timestamps': [['really', 0.24, 0.46], ['helps', 0.46, 0.72]]}]",really,0.995,helps,0.2929
Elon_Musk_chunk_49_1497034203599011_count_1_noise_-1_noise_type_White,2,21.77,22.75,ninety which,-1,False,0.4759,1.0,lecture,White,ninety,which,"[{'transcript': 'but I ', 'word_confidence': [['but', 0.2], ['I', 0.171]], 'confidence': 0.178, 'timestamps': [['but', 0.21, 0.3], ['I', 0.3, 0.6]]}]",but,0.535,I,0.6203,did,0.4538
American_Civil_War_chunk_99_1497034203599011_count_0_noise_-1_noise_type_White,2,20.85,21.47,tragic flooded,-1,True,0.9986,0.4913,lecture,White,tragic,flooded,"[{'transcript': 'tragic flaw that ', 'word_confidence': [['tragic', 0.957], ['flaw', 0.428], ['that', 0.048]], 'confidence': 0.63, 'timestamps': [['tragic', 0.24, 0.57], ['flaw', 0.57, 0.73], ['that', 0.73, 0.86]]}]",tragic,0.9977,flaw,0.3403
American_Civil_War_chunk_99_1497034203599011_count_0_noise_0_noise_type_White,2,20.85,21.47,tragic flooded,0,True,0.9986,0.4913,lecture,White,tragic,flooded,"[{'transcript': 'tragic flaw that ', 'word_confidence': [['tragic', 0.905], ['flaw', 0.39], ['that', 0.037]], 'confidence': 0.59, 'timestamps': [['tragic', 0.24, 0.57], ['flaw', 0.57, 0.73], ['that', 0.73, 0.86]]}]",tragic,0.9906,flaw,0.3246
American_Civil_War_chunk_99_1497034203599011_count_0_noise_10_noise_type_White,2,20.85,21.47,tragic flooded,10,True,0.9986,0.4913,lecture,White,tragic,flooded,"[{'transcript': 'tragic flaw ', 'word_confidence': [['tragic', 0.784], ['flaw', 0.271]], 'confidence': 0.603, 'timestamps': [['tragic', 0.24, 0.57], ['flaw', 0.57, 0.75]]}]",tragic,0.9552,flaw,0.3719
American_Civil_War_chunk_99_1497034203599011_count_0_noise_20_noise_type_White,2,20.85,21.47,tragic flooded,20,True,0.9986,0.4913,lecture,White,tragic,flooded,"[{'transcript': 'traffic flow ', 'word_confidence': [['traffic', 0.212], ['flow', 0.111]], 'confidence': 0.173, 'timestamps': [['traffic', 0.24, 0.56], ['flow', 0.56, 0.76]]}]",tragic,0.4026,flow,0.2212
American_Civil_War_chunk_99_1497034203599011_count_0_noise_15_noise_type_White,2,20.85,21.47,tragic flooded,15,True,0.9986,0.4913,lecture,White,tragic,flooded,"[{'transcript': 'tragic flaw ', 'word_confidence': [['tragic', 0.521], ['flaw', 0.142]], 'confidence': 0.38, 'timestamps': [['tragic', 0.24, 0.56], ['flaw', 0.56, 0.75]]}]",tragic,0.8086,flaw,0.323
American_Civil_War_chunk_99_1497034203599011_count_0_noise_17_noise_type_White,2,20.85,21.47,tragic flooded,17,True,0.9986,0.4913,lecture,White,tragic,flooded,"[{'transcript': 'tragic flaw ', 'word_confidence': [['tragic', 0.413], ['flaw', 0.108]], 'confidence': 0.3, 'timestamps': [['tragic', 0.24, 0.56], ['flaw', 0.56, 0.75]]}]",tragic,0.688,flaw,0.2763
